MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
09;2019;08291;02;01;03;33;108;1;01;10;2;2;0;1;0;0;0;0;01;4;05;;;6;;;;;6;6;;;;6;0;5;1;139,37;1;1;44,49;1;1;125,01;1;6;0;5;6;0;5;1;52,83;1;361,7;1;;;5;03;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;08;1;2;2;0;1;064;16;1;1;1;1;1;2;1;3;3;;3;2;6;2;1;923,475679;923,475679;923,475679
09;2019;14897;05;01;08;13;108;1;08;02;2;2;0;1;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;23,56;1;1;40,55;1;6;0;5;6;0;5;6;0;5;64,11;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;3;2;1;2;038;08;1;1;1;1;1;2;1;4;1;4;4;3;6;3;1,598806;1239,481176;1981,689941;1610,584811
09;2019;14897;06;01;08;02;108;1;08;02;1;1;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;10,03;1;6;0;5;6;0;5;6;0;5;1;21,25;1;31,28;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;2;038;08;1;1;1;1;1;2;1;4;1;4;4;3;6;3;1;1239,481176;1239,481176;1239,481176
09;2019;11047;02;01;14;30;108;1;01;02;3;3;0;1;0;0;0;0;01;3;05;;;6;;;;;6;6;;;;6;0;5;1;122,66;1;1;43,4;1;1;117,52;1;6;0;5;6;0;5;6;0;5;283,58;1;;;6;02;;;;;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;10;1;2;2;0;2;055;08;1;1;1;1;1;2;1;3;4;;3;2;1;6;1;1238,569437;1238,569437;1238,569437
09;2019;11047;03;01;00;00;001;6;02;07;7;7;0;1;0;0;0;0;01;4;01;8;;1;1;6;6;1;6;6;;;;1;763,66;4;1;226,65;1;1;101,91;1;1;153,47;1;1;110,64;1;6;0;5;6;0;5;1356,33;4;5;1;5;01;6;;;;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;2;0;2;055;08;1;1;1;1;1;2;1;3;4;;3;2;1;6;1;1238,569437;1238,569437;1238,569437
09;2019;12882;01;01;01;18;108;1;02;10;1;1;0;0;1;0;0;0;03;;05;;;6;;;;;6;6;;;;6;0;5;1;33,17;1;1;20,11;1;1;38,74;1;6;0;5;6;0;5;1;33,35;1;125,37;1;;;2;07;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;07;1;1;1;0;2;049;01;3;2;1;1;1;2;1;3;1;3;4;3;1;3;1;1019,187834;1019,187834;1019,187834
09;2019;04421;01;05;10;03;108;1;17;06;4;4;;;;;;;05;;05;;;;;;;;6;6;1;1;1;;0;5;1;102,5;1;1;56,1;1;1;81,04;1;6;0;5;6;0;5;1;33,75;1;273,39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;048;08;3;2;2;2;2;2;1;4;1;3;4;3;1;2;1;4197,450745;4197,450745;4197,450745
09;2019;04421;01;06;10;03;108;1;17;06;4;4;;;;;;;05;;05;;;;;;;;6;6;1;1;1;;0;5;1;102,5;1;1;56,1;1;1;81,04;1;6;0;5;6;0;5;1;33,75;1;273,39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;048;08;3;2;2;2;2;2;1;4;1;3;4;3;1;2;1;4197,450745;4197,450745;4197,450745
09;2019;04421;01;07;10;03;108;1;17;06;4;4;;;;;;;05;;05;;;;;;;;6;6;1;1;1;;0;5;1;102,5;1;1;56,1;1;1;81,04;1;6;0;5;6;0;5;1;33,75;1;273,39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;048;08;3;2;2;2;2;2;1;4;1;3;4;3;1;2;1;4197,450745;4197,450745;4197,450745
09;2019;04421;01;08;10;03;108;1;17;06;4;4;;;;;;;05;;05;;;;;;;;6;6;1;1;1;;0;5;1;102,5;1;1;56,1;1;1;81,04;1;6;0;5;6;0;5;1;33,75;1;273,39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;048;08;3;2;2;2;2;2;1;4;1;3;4;3;1;2;1;4197,450745;4197,450745;4197,450745
